afsc,doc_type,category,first_page,last_page,page_count,ksa_cues,mapping_terms,text_length,score,sample_text
4V0X1,AFECD,Operations,280,293,10,48,36,43430,159.34,"DAFECD, 31 Oct 24 CEM Code 4V000 AFSC 4V091, Superintendent AFSC 4V071*, Craftsman AFSC 4V051*, Journeyman AFSC 4V031*, Apprentice AFSC 4V011*, Helper ★OPHTHALMIC (Changed 31 Oct 24) 1. Specialty Summ"
3N0X2,AFECD,Operations,236,244,7,38,33,26585,131.66,"DAFECD, 31 Oct 24 2.15. Conducts quality review on all public affairs products prior to release. Continuously collects, measures, and analyzes communication program effectiveness. 2.16. Documents join"
1P0X1,AFECD,Operations,380,388,7,37,33,25852,129.59,"DAFECD, 31 Oct 24 54. ★9Z200, Special Warfare Mission Support (SWMS) Superintendent, Air Force Special Warfare (AFSPECWAR). (Changed 31 Oct 24). 54.1. Use this identifier to report the awarded (2AFSC,"
3F4X1,AFECD,Operations,225,235,8,34,28,29256,116.93,"DAFECD, 31 Oct 24 3.5.1.4. Minimum grade E-5 or E-5 select with less than 12 years of total military service. (ANG minimum grade E-5 or E-5 select with no more than 16 years of service). Must be quali"
1D7X2,AFECD,Operations,64,68,5,24,32,22252,100.73,"DAFECD, 31 Oct 24 3.2. ★Education. For entry into this specialty, completion of high school or general educational development equivalency is mandatory. Additional courses in Science, Technology, Engi"
1W0X1,AFECD,Operations,105,111,6,24,30,26946,98.69,"DAFECD, 31 Oct 24 3.5.2.2. Some assignments require routine access to Top Secret material or similar environment. For those assignments and position certification of AFSCs 1W0X1, completion of a curre"
4R0X1F,AFECD,Operations,275,279,4,25,22,17658,86.77,"DAFECD, 31 Oct 24 mammography patient outcomes using the MHSG and Medical Reporting System, techniques of operating a mammography unit and specialized biopsy equipment to produce quality images of the"
4N0X1F,AFECD,Operations,261,265,4,20,26,18964,82.9,"DAFECD, 31 Oct 24 3.3.1. For award of AFSC 4E031, completion of public health apprentice course is mandatory. 3.3.2. For award of AFSC 4E071, completion of the Operational Entomology in-residence cour"
1P0X1A,AFECD,Operations,92,97,5,19,25,17537,79.75,"DAFECD, 31 Oct 24 3. ★Specialty Qualifications: 3.1. Knowledge. Knowledge is mandatory of: Inspection and maintenance procedures; parachute construction; temperature and humidity effects on parachutes"
1H0X1,AFECD,Operations,7,72,6,26,15,18168,79.32,"DAFECD, 31 Oct 24 SECTION I-B (Established 31 Oct 23) AUTHORIZED PREFIXES ★Prefix A ★Developmental Craftsman (Changed 31 Oct 24) Prefix A identifies positions on manpower documents and enlisted person"
1T0X1,AFECD,Operations,98,104,5,23,18,16065,77.11,"DAFECD, 31 Oct 24 3. Specialty Qualifications: 3.1. Knowledge. Knowledge is mandatory of: The Code of Conduct; DoDI O-3002.05 , and U.S. Government policy for IP; global SERE and PR principles and JTT"
4N1X1,AFECD,Operations,271,274,3,18,20,15587,69.06,"DAFECD, 31 Oct 24 2.10. SOST Surgical Technologists are also required to conduct biannual field training in which they plan, coordinate, and execute SOST specific Mission Essential Task Lists (METL’s)"
1C0X2,AFECD,Operations,43,45,3,17,14,14947,57.99,"DAFECD, 31 Oct 24 CEM Code 1C000 AFSC 1C092, Superintendent AFSC 1C072, Craftsman AFSC 1C052, Journeyman AFSC 1C032, Apprentice AFSC 1C012, Helper AVIATION RESOURCE MANAGEMENT (Changed 30 Apr 19) 1. S"
1C3X1,AFECD,Operations,18,48,4,16,12,14558,53.46,"DAFECD, 31 Oct 24 ★Prefix V Automated Functional Applications Analyst/Monitor (Changed 31 Oct 24) Prefix V identifies positions on manpower documents and enlisted Airmen/Guardians serving in, qualifie"
1Z4X1,AFECD,Operations,10,379,5,18,8,17691,52.27,"DAFECD, 31 Oct 24 ★Prefix G Automated Systems Programming Craftsman (Changed 31 Oct 24) Prefix G identifies positions on manpower documents and enlisted Airmen/Guardians serving in, qualified to serve"
1A1X4,AFECD,Operations,9,19,6,16,7,15266,47.03,"DAFECD, 31 Oct 24 ★Prefix E ★Electromagnetic Spectrum Operations (EMSO) / Electronic Warfare (EW) Support (Changed 31 Oct 24) Prefix E identifies positions on manning documents and enlisted profession"
5I0X1,AFECD,Operations,389,390,2,8,15,10866,40.59,"DAFECD, 31 Oct 24 employment tactics of potential enemy offensive and defensive weapon systems, special operations forces tactics, techniques and procedures, and associated equipment, procedures for a"
3F3X1,AFECD,Operations,222,224,2,12,9,11046,39.6,"DAFECD, 31 Oct 24 3.3. ★Training. The following training is mandatory for award of the AFSC indicated in addition to successful completion of applicable Career Development Course requirements listed i"
1C5X1,AFECD,Operations,49,50,2,12,8,6827,37.68,"DAFECD, 31 Oct 24 3.5.1. ★For entry, award, and retention of these AFSCs into this specialty. 3.5.1.1. ★AFSC 1C5X1 must meet Ground Based Operator (GBO) physical qualification standards, IAW DAFMAN 48"
5R0X1,AFECD,Operations,294,296,3,10,10,10451,37.55,"DAFECD, 31 Oct 24 health problems, maintains local network access, and conducts themselves in a manner that brings credit, pride and honorable distinction to the United States Air Force and the United"
1B4X1,AFECD,Operations,40,41,2,8,13,8723,37.37,"DAFECD, 31 Oct 24 AFSC 1B471, Craftsman AFSC 1B451, Journeyman AFSC 1B431, Apprentice AFSC 1B411, Helper CYBER WARFARE OPERATIONS (Changed 30 Apr 24) 1. Specialty Summary. 1.1. Performs duties to deve"
4N0X1B,AFECD,Operations,267,268,2,9,11,12682,36.77,"DAFECD, 31 Oct 24 CEM Code 4N000 AFSC 4N091, Superintendent AFSC 4N071*, Craftsman AFSC 4N051*, Journeyman AFSC 4N031*, Apprentice AFSC 4N011*, Helper ★AEROSPACE MEDICAL SERVICE (Changed 31 Oct 24) 1."
4V0X1S,AFECD,Operations,280,281,2,10,8,8059,33.81,"DAFECD, 31 Oct 24 CEM Code 4V000 AFSC 4V091, Superintendent AFSC 4V071*, Craftsman AFSC 4V051*, Journeyman AFSC 4V031*, Apprentice AFSC 4V011*, Helper ★OPHTHALMIC (Changed 31 Oct 24) 1. Specialty Summ"
5C0X1,AFECD,Operations,7,10,3,11,5,8644,31.86,"DAFECD, 31 Oct 24 SECTION I-B (Established 31 Oct 23) AUTHORIZED PREFIXES ★Prefix A ★Developmental Craftsman (Changed 31 Oct 24) Prefix A identifies positions on manpower documents and enlisted person"
3F2X1,AFECD,Operations,220,221,2,9,8,8022,31.8,"DAFECD, 31 Oct 24 3.5.1. For entry into this specialty: 3.5.1.1. Prior qualification in any AFSC at the 5-skill level or higher (or 3-skill level if no 5-skill level exists). Note: For ARC, sister ser"
4N0X1,AFECD,Operations,269,270,2,7,9,10979,29.6,"DAFECD, 31 Oct 24 3.3.6. 4N031H. Completion of an accredited National Registry Paramedic (NRP) course and certification from the National Registry of Emergency Medical Technicians (NREMT) as an NRP. A"
1C6X1,AFECD,Operations,51,52,2,9,5,5301,27.03,"DAFECD, 31 Oct 24 NOTE: The 1C6X1 specialty code awarding course requires an interim or fully adjudicated T5 clearance by training day 70 or when access to course requires it, whichever comes first. 5"
3N0X5,AFECD,Operations,236,236,1,5,8,4130,22.91,"DAFECD, 31 Oct 24 2.15. Conducts quality review on all public affairs products prior to release. Continuously collects, measures, and analyzes communication program effectiveness. 2.16. Documents join"
3F3X1M,AFECD,Operations,222,222,1,5,7,5615,21.56,"DAFECD, 31 Oct 24 3.3. ★Training. The following training is mandatory for award of the AFSC indicated in addition to successful completion of applicable Career Development Course requirements listed i"
4N1X1B,AFECD,Operations,271,271,1,6,5,5156,20.52,"DAFECD, 31 Oct 24 2.10. SOST Surgical Technologists are also required to conduct biannual field training in which they plan, coordinate, and execute SOST specific Mission Essential Task Lists (METL’s)"
4N1X1C,AFECD,Operations,271,271,1,6,5,5156,20.52,"DAFECD, 31 Oct 24 2.10. SOST Surgical Technologists are also required to conduct biannual field training in which they plan, coordinate, and execute SOST specific Mission Essential Task Lists (METL’s)"
4N1X1D,AFECD,Operations,271,271,1,6,5,5156,20.52,"DAFECD, 31 Oct 24 2.10. SOST Surgical Technologists are also required to conduct biannual field training in which they plan, coordinate, and execute SOST specific Mission Essential Task Lists (METL’s)"
4N0X1C,AFECD,Operations,267,267,1,5,6,6125,20.11,"DAFECD, 31 Oct 24 CEM Code 4N000 AFSC 4N091, Superintendent AFSC 4N071*, Craftsman AFSC 4N051*, Journeyman AFSC 4N031*, Apprentice AFSC 4N011*, Helper ★AEROSPACE MEDICAL SERVICE (Changed 31 Oct 24) 1."
4N0X1H,AFECD,Operations,267,267,1,5,6,6125,20.11,"DAFECD, 31 Oct 24 CEM Code 4N000 AFSC 4N091, Superintendent AFSC 4N071*, Craftsman AFSC 4N051*, Journeyman AFSC 4N031*, Apprentice AFSC 4N011*, Helper ★AEROSPACE MEDICAL SERVICE (Changed 31 Oct 24) 1."
14N1,AFOCD,Intelligence,6,76,4,13,12,13195,47.32,"DAFOCD, 31 Oct 24 SECTION I-B AUTHORIZED PREFIXES PREFIX A MULTI-DOMAIN WARFARE PLANNER (Changed 31 Oct 24) Prefix A identifies positions on manning documents and officers serving in, or qualified to"
14N3,AFOCD,Intelligence,17,75,4,13,11,12451,45.75,"DAFOCD, 31 Oct 24 PREFIX O SUPPORT SQUADRON OPERATIONS OFFICER (Changed 31 Oct 24) Prefix O identifies positions on manning documents and officers serving in, or qualified to serve in, positions in n"
14N4,AFOCD,Intelligence,74,74,1,4,6,6903,18.19,"DAFOCD, 31 Oct 24 AFSC 14N4, Staff AFSC 14N3, Qualified AFSC 14N1, Entry INTELLIGENCE (Changed 30 Apr 21) 1. Specialty Summary. Leads and performs intelligence activities across the full range of mili"
21A1,AFOCD,Maintenance,110,110,1,8,10,4694,31.97,"DAFOCD, 31 Oct 24 AFSC 21A4, Staff AFSC 21A3, Qualified AFSC 21A1, Entry AIRCRAFT MAINTENANCE (Changed 31 Oct 15, Effective 26 Feb 15) 1. Specialty Summary. Leads, trains, and equips personnel support"
21A3,AFOCD,Maintenance,110,110,1,8,10,4694,31.97,"DAFOCD, 31 Oct 24 AFSC 21A4, Staff AFSC 21A3, Qualified AFSC 21A1, Entry AIRCRAFT MAINTENANCE (Changed 31 Oct 15, Effective 26 Feb 15) 1. Specialty Summary. Leads, trains, and equips personnel support"
21A4,AFOCD,Maintenance,110,110,1,8,10,4694,31.97,"DAFOCD, 31 Oct 24 AFSC 21A4, Staff AFSC 21A3, Qualified AFSC 21A1, Entry AIRCRAFT MAINTENANCE (Changed 31 Oct 15, Effective 26 Feb 15) 1. Specialty Summary. Leads, trains, and equips personnel support"
21M1,AFOCD,Maintenance,111,112,2,8,9,8294,31.33,"DAFOCD, 31 Oct 24 AFSC 21M4*, Staff AFSC 21M3*, Qualified AFSC 21M1*, Entry MUNITIONS AND MISSILE MAINTENANCE (Changed 31 Oct 18) 1. Specialty Summary. Manages maintenance and modification of conventi"
21R3,AFOCD,Maintenance,113,114,2,9,4,7595,25.76,"DAFOCD, 31 Oct 24 AFSC 21R4, Staff AFSC 21R3, Qualified AFSC 21R1, Entry LOGISTICS READINESS (Changed 30 Apr 22) 1. Specialty Summary. The Logistics Readiness specialty (AFSC 21RX) encompasses the int"
21R4,AFOCD,Maintenance,113,114,2,9,4,7595,25.76,"DAFOCD, 31 Oct 24 AFSC 21R4, Staff AFSC 21R3, Qualified AFSC 21R1, Entry LOGISTICS READINESS (Changed 30 Apr 22) 1. Specialty Summary. The Logistics Readiness specialty (AFSC 21RX) encompasses the int"
21M3,AFOCD,Maintenance,111,111,1,5,8,6074,23.11,"DAFOCD, 31 Oct 24 AFSC 21M4*, Staff AFSC 21M3*, Qualified AFSC 21M1*, Entry MUNITIONS AND MISSILE MAINTENANCE (Changed 31 Oct 18) 1. Specialty Summary. Manages maintenance and modification of conventi"
21M4,AFOCD,Maintenance,111,111,1,5,8,6074,23.11,"DAFOCD, 31 Oct 24 AFSC 21M4*, Staff AFSC 21M3*, Qualified AFSC 21M1*, Entry MUNITIONS AND MISSILE MAINTENANCE (Changed 31 Oct 18) 1. Specialty Summary. Manages maintenance and modification of conventi"
21R1,AFOCD,Maintenance,113,113,1,7,4,6186,21.12,"DAFOCD, 31 Oct 24 AFSC 21R4, Staff AFSC 21R3, Qualified AFSC 21R1, Entry LOGISTICS READINESS (Changed 30 Apr 22) 1. Specialty Summary. The Logistics Readiness specialty (AFSC 21RX) encompasses the int"
21M1A,AFOCD,Maintenance,112,112,1,3,1,2220,8.22,"DAFOCD, 31 Oct 24 3.2. Education. For entry education requirements see Appendix A, 21M CIP Education Matrix. 3.3. Training. The following training is mandatory for award of the AFSC indicated: 3.3.1."
21M1I,AFOCD,Maintenance,112,112,1,3,1,2220,8.22,"DAFOCD, 31 Oct 24 3.2. Education. For entry education requirements see Appendix A, 21M CIP Education Matrix. 3.3. Training. The following training is mandatory for award of the AFSC indicated: 3.3.1."
21M1N,AFOCD,Maintenance,112,112,1,3,1,2220,8.22,"DAFOCD, 31 Oct 24 3.2. Education. For entry education requirements see Appendix A, 21M CIP Education Matrix. 3.3. Training. The following training is mandatory for award of the AFSC indicated: 3.3.1."
21M3A,AFOCD,Maintenance,112,112,1,3,1,2220,8.22,"DAFOCD, 31 Oct 24 3.2. Education. For entry education requirements see Appendix A, 21M CIP Education Matrix. 3.3. Training. The following training is mandatory for award of the AFSC indicated: 3.3.1."
21M3I,AFOCD,Maintenance,112,112,1,3,1,2220,8.22,"DAFOCD, 31 Oct 24 3.2. Education. For entry education requirements see Appendix A, 21M CIP Education Matrix. 3.3. Training. The following training is mandatory for award of the AFSC indicated: 3.3.1."
21M3N,AFOCD,Maintenance,112,112,1,3,1,2220,8.22,"DAFOCD, 31 Oct 24 3.2. Education. For entry education requirements see Appendix A, 21M CIP Education Matrix. 3.3. Training. The following training is mandatory for award of the AFSC indicated: 3.3.1."
96D0,AFOCD,Operations,275,304,25,33,24,37492,118.25,"DAFOCD, 31 Oct 24 36. 96D0 Officer Not Available for Use in Awarded AFSC for Cause. Use this RI to report the duty AFSC of officers not available to perform duty in an awarded AFSC because of duty sta"
11R3,AFOCD,Operations,15,41,7,24,26,20666,92.57,"DAFOCD, 31 Oct 24 PREFIX K INSTRUCTOR (Changed 31 Oct 24) Prefix K identifies positions on manning documents and officers serving in or qualified to serve in positions as an Instructor Pilot, Navigat"
12R3,AFOCD,Operations,6,53,5,18,6,11331,48.63,"DAFOCD, 31 Oct 24 SECTION I-B AUTHORIZED PREFIXES PREFIX A MULTI-DOMAIN WARFARE PLANNER (Changed 31 Oct 24) Prefix A identifies positions on manning documents and officers serving in, or qualified to"
13O3,AFOCD,Operations,9,66,4,17,7,9843,47.48,"DAFOCD, 31 Oct 24 PREFIX D ADVANCED LOGISTICS OFFICER COURSE GRADUATES (Changed 30 Apr 24) Prefix D identifies positions on manning documents and officers serving in, or qualified to serve in, positio"
11R2,AFOCD,Operations,12,41,4,16,6,8874,43.89,"DAFOCD, 31 Oct 24 PREFIX G AUTOMATED SYSTEMS PROGRAM DIRECTOR (Changed 31 Oct 24) Prefix G identifies positions on manning documents and officers serving in, or qualified to serve in, positions requi"
10C0,AFOCD,Operations,31,33,3,12,9,7028,39.7,"DAFOCD, 31 Oct 24 OPERATIONS CAREER AREA (1XXX) Introduction (Changed 31 Oct 23) The Operations Career Area encompasses utilization fields that directly employ weapon and supporting systems to accompl"
17Y1,AFOCD,Operations,96,98,2,10,10,7519,36.75,"DAFOCD, 31 Oct 24 AFSC 17Y4*, Staff AFSC 17Y3*, Qualified AFSC 17Y1*, Entry CYBER EFFECTS & WARFARE OPERATIONS (Changed 30 Apr 2024) 1. Specialty Summary. Delivers cyberspace capabilities to create of"
11U1,AFOCD,Operations,44,45,2,11,8,6597,35.66,"DAFOCD, 31 Oct 24 AFSC 11U4*, Staff AFSC 11U3*, Qualified AFSC 11U1*, Entry/Student REMOTELY PILOTED AIRCRAFT (RPA) PILOT (Changed 30 Oct 12, Effective 27 Aug 12) 1. Specialty Summary. Operates specia"
16Z1,AFOCD,Operations,90,92,3,12,6,8153,35.32,"DAFOCD, 31 Oct 24 AFSC 16Z4*, Staff AFSC 16Z3*, Qualified AFSC 16Z1*, Entry RATED FOREIGN AREA OFFICER (FAO) (Changed 30 Apr 21) 1. Specialty Summary. Provides a cadre of rated Airmen with internation"
11B1,AFOCD,Operations,15,34,2,10,9,5309,35.03,"DAFOCD, 31 Oct 24 PREFIX K INSTRUCTOR (Changed 31 Oct 24) Prefix K identifies positions on manning documents and officers serving in or qualified to serve in positions as an Instructor Pilot, Navigat"
88M0,AFOCD,Operations,265,266,2,13,5,5108,35.01,"DAFOCD, 31 Oct 24 SDI 88M0 UNITED STATES AIR FORCE MEDICAL PINNACLE POSITION (Established 30 Apr 24) 1. Special Duty Summary. Leads, directs, synchronizes, evaluates, equips, and informs senior DAF pe"
46F1,AFOCD,Operations,190,191,2,11,7,8438,34.34,"DAFOCD, 31 Oct 24 AFSC 46F4, Staff AFSC 46F3, Qualified AFSC 46F1, Entry FLIGHT NURSE (Changed 31 Oct 23) 1. Specialty Summary: Provides professional medical-surgical nursing care within scope of prac"
46F3,AFOCD,Operations,190,191,2,11,7,8438,34.34,"DAFOCD, 31 Oct 24 AFSC 46F4, Staff AFSC 46F3, Qualified AFSC 46F1, Entry FLIGHT NURSE (Changed 31 Oct 23) 1. Specialty Summary: Provides professional medical-surgical nursing care within scope of prac"
60C0,AFOCD,Operations,11,225,3,10,8,8217,34.32,"DAFOCD, 31 Oct 24 PREFIX F AIRCRAFT SYSTEMS FLIGHT EVALUATION (Changed 31 Oct 24) Prefix F identifies positions on manning documents and officers serving in, or qualified to serve in, positions requi"
43H1,AFOCD,Operations,152,153,2,10,8,13132,34.31,"DAFOCD, 31 Oct 24 AFSC 43H4*, Staff AFSC 43H3*, Qualified AFSC 43H1*, Entry PUBLIC HEALTH OFFICER (Changed 31 Oct 24) 1. Specialty Summary. Applies public health, preventive medicine and medical ento"
41A1,AFOCD,Operations,133,135,3,12,5,7021,33.7,"DAFOCD, 31 Oct 24 AFSC 41A4*, Staff AFSC 41A3*, Qualified AFSC 41A1*, Entry HEALTH SERVICES ADMINISTRATOR (Changed 30 Apr 19) 1. Specialty Summary. Manages health services activities, including plans"
43E1,AFOCD,Operations,150,151,2,9,9,8869,33.39,"DAFOCD, 31 Oct 24 AFSC 43E4*, Staff AFSC 43E3*, Qualified AFSC 43E1*, Entry BIOENVIRONMENTAL ENGINEER (Changed 30 Apr 24) 1. Specialty Summary. Applies engineering and scientific principles in anticip"
42T1,AFOCD,Operations,146,147,2,11,6,6288,32.63,"DAFOCD, 31 Oct 24 AFSC 42T4, Staff AFSC 42T3, Qualified AFSC 42T1, Entry OCCUPATIONAL THERAPIST (Changed 31 Oct 23) 1. Specialty Summary. Plans, develops, and manages occupational therapy programs and"
13H1,AFOCD,Operations,60,61,2,10,7,10864,32.59,"DAFOCD, 31 Oct 24 AFSC 13H4, Staff AFSC 13H3, Qualified AFSC 13H1, Entry AEROSPACE PHYSIOLOGIST (Established 31 Oct 23) 1. Specialty Summary. Train selected Line of the Air Force (LAF) officers in a c"
42E3,AFOCD,Operations,138,139,2,9,8,7676,31.77,"DAFOCD, 31 Oct 24 AFSC 42E4, Staff AFSC 42E3, Qualified AFSC 42E1, Entry OPTOMETRIST (Changed 31 Oct 23) 1. Specialty Summary. Examines, diagnoses, treats and manages diseases and disorders of the vis"
15W1,AFOCD,Operations,80,81,2,9,8,7463,31.75,"DAFOCD, 31 Oct 24 AFSC 15W4*, Staff AFSC 15W3*, Qualified AFSC 15W1*, Entry WEATHER AND ENVIRONMENTAL SCIENCES (Changed 30 Apr 24) 1. Specialty Summary. Commands, manages, and performs weather and env"
14F3,AFOCD,Operations,71,72,2,9,8,7448,31.74,"DAFOCD, 31 Oct 24 AFSC 14F4, Staff AFSC 14F3, Qualified AFSC 14F1, Entry INFORMATION OPERATIONS (Changed 31 Oct 23) 1. Specialty Summary. Leads and applies social science principles across four functi"
15W3,AFOCD,Operations,17,80,2,10,6,8072,30.81,"DAFOCD, 31 Oct 24 PREFIX O SUPPORT SQUADRON OPERATIONS OFFICER (Changed 31 Oct 24) Prefix O identifies positions on manning documents and officers serving in, or qualified to serve in, positions in n"
18S1,AFOCD,Operations,103,104,2,10,6,5175,30.52,"DAFOCD, 31 Oct 24 AFSC 18S4*, Staff AFSC 18S3*, Qualified AFSC 18S1*, Entry/Student SPECIAL OPERATIONS REMOTELY PILOTED AIRCRAFT PILOT (Changed 30 Apr 12) 1. Specialty Summary. Operates specialized mi"
13M3,AFOCD,Operations,63,64,2,9,7,7849,30.28,"DAFOCD, 31 Oct 24 AFSC 13M4, Staff AFSC 13M3, Qualified AFSC 13M1, Entry AIRFIELD OPERATIONS (Changed 30 Apr 22) 1. Specialty Summary. Performs and leads airfield operations (AO) functions of, air tra"
43T1,AFOCD,Operations,157,159,3,10,5,10101,30.01,"DAFOCD, 31 Oct 24 AFSC 43T3*, Qualified AFSC 43T1*, Entry BIOMEDICAL LABORATORY (Changed 31 Oct 18) 1. Specialty Summary. Manages, directs, supervises, and performs analyses of biologic and related ma"
31P1,AFOCD,Operations,118,119,2,8,8,9636,29.96,"DAFOCD, 31 Oct 24 AFSC 31P4, Staff AFSC 31P3, Qualified AFSC 31P1, Entry SECURITY FORCES (Changed 30 Apr 24) 1. Specialty Summary. Leads, manages, and directs security forces (SF) activities. Included"
62S0,AFOCD,Operations,11,233,3,10,5,6906,29.69,"DAFOCD, 31 Oct 24 PREFIX F AIRCRAFT SYSTEMS FLIGHT EVALUATION (Changed 31 Oct 24) Prefix F identifies positions on manning documents and officers serving in, or qualified to serve in, positions requi"
48A1,AFOCD,Operations,209,210,2,10,5,8262,29.33,"DAFOCD, 31 Oct 24 AFSC 48A4, Staff AFSC 48A3, Qualified AFSC 48A1, Entry AEROSPACE MEDICINE PHYSICIAN SPECIALIST (Changed 30 Apr 24) 1. Specialty Summary. A flight surgeon who develops and administers"
48A3,AFOCD,Operations,209,210,2,10,5,8262,29.33,"DAFOCD, 31 Oct 24 AFSC 48A4, Staff AFSC 48A3, Qualified AFSC 48A1, Entry AEROSPACE MEDICINE PHYSICIAN SPECIALIST (Changed 30 Apr 24) 1. Specialty Summary. A flight surgeon who develops and administers"
48A4,AFOCD,Operations,209,210,2,10,5,8262,29.33,"DAFOCD, 31 Oct 24 AFSC 48A4, Staff AFSC 48A3, Qualified AFSC 48A1, Entry AEROSPACE MEDICINE PHYSICIAN SPECIALIST (Changed 30 Apr 24) 1. Specialty Summary. A flight surgeon who develops and administers"
20C0,AFOCD,Operations,18,108,2,10,5,6630,29.16,"DAFOCD, 31 Oct 24 PREFIX P PILOT REQUIRED (Changed 31 Oct 24) Prefix P identifies first lieutenant through colonel positions on manning documents and officers serving in, or qualified to serve in, po"
