afsc,label,text_norm,source_doc,evidence,page,chunk_idx,extractor_version
11F3,S,"Maintain aeronautical qualification through training, evaluations, and currency requirements",llm,"Maintain aeronautical qualification through training, evaluations, and currency requirements",,1,llm_v0
11F3,S,"Execute wingman tactics, techniques, and procedures",llm,"Execute wingman tactics, techniques, and procedures",,1,llm_v0
11F3,S,"Plan, brief, lead, and debrief missions as a flight lead",llm,"Plan, brief, lead, and debrief missions as a flight lead",,1,llm_v0
11F3,S,Complete IFF training and employ T-38C/AT-38 procedures,llm,Complete IFF training and employ T-38C/AT-38 procedures,,1,llm_v0
11F3,S,"Qualify in and employ designated fighter aircraft (e.g., A-10, F-15, F-15E, F-16, F-22, F-35)",llm,"Qualify in and employ designated fighter aircraft (e.g., A-10, F-15, F-15E, F-16, F-22, F-35)",,1,llm_v0
11F3,S,Apply classified information handling procedures and operate within classified systems/environments,llm,Apply classified information handling procedures and operate within classified systems/environments,,1,llm_v0
11F3,A,"Meet proficiency standards based on performance, experience, and completion of training requirements",llm,"Meet proficiency standards based on performance, experience, and completion of training requirements",,1,llm_v0
11F3,A,Obtain and maintain eligibility for Tier 5 access and work effectively in Top Secret/classified environments,llm,Obtain and maintain eligibility for Tier 5 access and work effectively in Top Secret/classified environments,,1,llm_v0
11F3,A,"Function effectively as both a wingman and a flight lead, including making rapid decisions under operational conditions",llm,"Function effectively as both a wingman and a flight lead, including making rapid decisions under operational conditions",,1,llm_v0
11F3,A,Adapt to different fighter aircraft and mission sets as assigned,llm,Adapt to different fighter aircraft and mission sets as assigned,,1,llm_v0
11F3,A,Comply with regulatory guidance and certification processes overseen by operations authorities,llm,Comply with regulatory guidance and certification processes overseen by operations authorities,,1,llm_v0
11F3,A,Sustain readiness and currency required for award and retention of the AFSC,llm,Sustain readiness and currency required for award and retention of the AFSC,,1,llm_v0
12B,K,Theory of flight,llm,Theory of flight,,0,llm_v0
12B,K,Principles of air navigation,llm,Principles of air navigation,,0,llm_v0
12B,K,Aviation meteorology,llm,Aviation meteorology,,0,llm_v0
12B,K,Flying directives and Air Force regulations,llm,Flying directives and Air Force regulations,,0,llm_v0
12B,K,Aircraft operating procedures for bomber platforms,llm,Aircraft operating procedures for bomber platforms,,0,llm_v0
12B,K,Mission tactics and doctrine,llm,Mission tactics and doctrine,,0,llm_v0
12B,K,Mission planning processes and flight plan requirements,llm,Mission planning processes and flight plan requirements,,0,llm_v0
12B,K,Navigation systems capabilities and limitations,llm,Navigation systems capabilities and limitations,,0,llm_v0
12B,K,Concepts of electronic warfare and weapon systems employment,llm,Concepts of electronic warfare and weapon systems employment,,0,llm_v0
12B,K,Fundamentals of training and crew qualification requirements,llm,Fundamentals of training and crew qualification requirements,,0,llm_v0
12B,K,Physical sciences and mathematics relevant to aviation,llm,Physical sciences and mathematics relevant to aviation,,0,llm_v0
12B,K,Administration and management principles applicable to staff functions,llm,Administration and management principles applicable to staff functions,,0,llm_v0
12B,S,Plan and prepare missions,llm,Plan and prepare missions,,0,llm_v0
12B,S,"Review and interpret mission tasking, intelligence, and weather data",llm,"Review and interpret mission tasking, intelligence, and weather data",,0,llm_v0
12B,S,Prepare and file flight plans,llm,Prepare and file flight plans,,0,llm_v0
12B,S,Conduct crew briefings,llm,Conduct crew briefings,,0,llm_v0
12B,S,"Ensure aircraft preflight, inspection, loading, equipping, and manning",llm,"Ensure aircraft preflight, inspection, loading, equipping, and manning",,0,llm_v0
12B,S,Navigate aircraft to accomplish mission objectives,llm,Navigate aircraft to accomplish mission objectives,,0,llm_v0
12B,S,Operate available navigation systems,llm,Operate available navigation systems,,0,llm_v0
12B,S,Conduct and supervise mission-specific training for crewmembers,llm,Conduct and supervise mission-specific training for crewmembers,,0,llm_v0
12B,S,Develop plans and policies for operations,llm,Develop plans and policies for operations,,0,llm_v0
12B,S,Monitor operations and advise commanders,llm,Monitor operations and advise commanders,,0,llm_v0
12B,S,Perform staff functions related to bomber CSO operations,llm,Perform staff functions related to bomber CSO operations,,0,llm_v0
12B,S,Transition to and operate suffix-specific aircraft through operational training,llm,Transition to and operate suffix-specific aircraft through operational training,,0,llm_v0
12B,A,"Lead, supervise, and ensure readiness of aircrew",llm,"Lead, supervise, and ensure readiness of aircrew",,0,llm_v0
12B,A,Maintain high situational awareness during flight operations,llm,Maintain high situational awareness during flight operations,,0,llm_v0
12B,A,Analyze complex information and make timely decisions,llm,Analyze complex information and make timely decisions,,0,llm_v0
12B,A,Communicate clearly and effectively with crew and command,llm,Communicate clearly and effectively with crew and command,,0,llm_v0
12B,A,"Plan, organize, and prioritize tasks for complex missions",llm,"Plan, organize, and prioritize tasks for complex missions",,0,llm_v0
12B,A,"Apply rules, procedures, and tactics consistently and safely",llm,"Apply rules, procedures, and tactics consistently and safely",,0,llm_v0
12B,A,"Instruct, coach, and evaluate personnel",llm,"Instruct, coach, and evaluate personnel",,0,llm_v0
12B,A,"Adapt to changing mission, intelligence, and weather conditions",llm,"Adapt to changing mission, intelligence, and weather conditions",,0,llm_v0
12B,A,Sustain attention to detail during preflight and in-flight operations,llm,Sustain attention to detail during preflight and in-flight operations,,0,llm_v0
12B,A,Learn and retain aircraft- and mission-specific systems and procedures,llm,Learn and retain aircraft- and mission-specific systems and procedures,,0,llm_v0
12B,K,"Electronic Warfare Officer (EWO) concepts, doctrine, and mission employment",llm,"Electronic Warfare Officer (EWO) concepts, doctrine, and mission employment",,1,llm_v0
12B,K,Undergraduate Combat Systems Officer (CSO) fundamentals and mission systems,llm,Undergraduate Combat Systems Officer (CSO) fundamentals and mission systems,,1,llm_v0
12B,K,Aeronautical rating and aviation service requirements for navigators,llm,Aeronautical rating and aviation service requirements for navigators,,1,llm_v0
12B,K,Department of Defense and Air Force personnel security policies (DoDM 5200.02; AFMAN 16-1405),llm,Department of Defense and Air Force personnel security policies (DoDM 5200.02; AFMAN 16-1405),,1,llm_v0
12B,K,Classification levels and handling requirements for Tier 5 (T5) information and systems,llm,Classification levels and handling requirements for Tier 5 (T5) information and systems,,1,llm_v0
12B,K,"Role and platform designations for B-1 WSO, B-52 EWO/WSO, and Air Liaison Officer (ALO)",llm,"Role and platform designations for B-1 WSO, B-52 EWO/WSO, and Air Liaison Officer (ALO)",,1,llm_v0
12B,S,Apply EWO procedures and tactics learned in formal training,llm,Apply EWO procedures and tactics learned in formal training,,1,llm_v0
12B,S,Perform CSO/navigation duties during flight operations,llm,Perform CSO/navigation duties during flight operations,,1,llm_v0
12B,S,Operate and employ aircraft weapon systems as a Weapons Systems Officer (WSO),llm,Operate and employ aircraft weapon systems as a Weapons Systems Officer (WSO),,1,llm_v0
12B,S,Execute mission tasks specific to B-52 EWO/WSO and B-1 WSO roles,llm,Execute mission tasks specific to B-52 EWO/WSO and B-1 WSO roles,,1,llm_v0
12B,S,Handle and safeguard classified information in T5/Top Secret environments in accordance with policy,llm,Handle and safeguard classified information in T5/Top Secret environments in accordance with policy,,1,llm_v0
12B,S,Maintain training currency and demonstrate proficiency to unit commander standards,llm,Maintain training currency and demonstrate proficiency to unit commander standards,,1,llm_v0
12B,A,Qualify for and retain aeronautical rating and aviation service as a navigator,llm,Qualify for and retain aeronautical rating and aviation service as a navigator,,1,llm_v0
12B,A,Obtain and maintain a Top Secret security clearance supported by a Tier 5 investigation,llm,Obtain and maintain a Top Secret security clearance supported by a Tier 5 investigation,,1,llm_v0
12B,A,Work routinely in highly classified (T5) environments,llm,Work routinely in highly classified (T5) environments,,1,llm_v0
12B,A,Meet minimum training requirements and progress to higher AFSC levels based on performance and experience,llm,Meet minimum training requirements and progress to higher AFSC levels based on performance and experience,,1,llm_v0
12B,A,"Adapt to platform- and role-specific shredouts (e.g., C/D/W; B-1 WSO; B-52 EWO/WSO; ALO)",llm,"Adapt to platform- and role-specific shredouts (e.g., C/D/W; B-1 WSO; B-52 EWO/WSO; ALO)",,1,llm_v0
14N,K,"Air Force Service Core Function (SCF) of Global Integrated Intelligence, Surveillance and Reconnaissance (ISR)",llm,"Air Force Service Core Function (SCF) of Global Integrated Intelligence, Surveillance and Reconnaissance (ISR)",,0,llm_v0
14N,K,The ISR PCPAD cycle and its phases: planning and direction; collection; processing and exploitation; analysis and production; dissemination,llm,The ISR PCPAD cycle and its phases: planning and direction; collection; processing and exploitation; analysis and production; dissemination,,0,llm_v0
14N,K,"Principles of assessment, evaluation, and feedback within the ISR lifecycle",llm,"Principles of assessment, evaluation, and feedback within the ISR lifecycle",,0,llm_v0
14N,K,"Functional competencies in Air Force ISR: Analysis, Collection, Targeting, and Sensing Grid Activities",llm,"Functional competencies in Air Force ISR: Analysis, Collection, Targeting, and Sensing Grid Activities",,0,llm_v0
14N,K,Roles and objectives of intelligence activities across the full range of military operations,llm,Roles and objectives of intelligence activities across the full range of military operations,,0,llm_v0
14N,S,Plan and direct ISR operations,llm,Plan and direct ISR operations,,0,llm_v0
14N,S,Conduct intelligence collection,llm,Conduct intelligence collection,,0,llm_v0
14N,S,Perform processing and exploitation of collected information,llm,Perform processing and exploitation of collected information,,0,llm_v0
14N,S,Conduct analysis and produce intelligence,llm,Conduct analysis and produce intelligence,,0,llm_v0
14N,S,Disseminate intelligence products,llm,Disseminate intelligence products,,0,llm_v0
14N,S,"Conduct assessment, evaluation, and feedback across ISR phases",llm,"Conduct assessment, evaluation, and feedback across ISR phases",,0,llm_v0
14N,S,Lead teams through the PCPAD process,llm,Lead teams through the PCPAD process,,0,llm_v0
14N,S,"Execute functional tasks in analysis, collection, targeting, and sensing grid activities",llm,"Execute functional tasks in analysis, collection, targeting, and sensing grid activities",,0,llm_v0
14N,A,Lead and perform intelligence activities across the full range of military operations,llm,Lead and perform intelligence activities across the full range of military operations,,0,llm_v0
14N,A,Integrate and manage ISR operations globally,llm,Integrate and manage ISR operations globally,,0,llm_v0
14N,A,Oversee end-to-end execution of the PCPAD cycle,llm,Oversee end-to-end execution of the PCPAD cycle,,0,llm_v0
14N,A,"Coordinate and synchronize functional competencies (analysis, collection, targeting, sensing grid) to meet mission needs",llm,"Coordinate and synchronize functional competencies (analysis, collection, targeting, sensing grid) to meet mission needs",,0,llm_v0
14N,A,Maintain continuous assessment and feedback throughout ISR operations,llm,Maintain continuous assessment and feedback throughout ISR operations,,0,llm_v0
14N,A,Support the Air Force’s Global Integrated ISR SCF objectives,llm,Support the Air Force’s Global Integrated ISR SCF objectives,,0,llm_v0
14N,K,Geospatial intelligence (GEOINT) principles,llm,Geospatial intelligence (GEOINT) principles,,1,llm_v0
14N,K,Human intelligence (HUMINT) principles,llm,Human intelligence (HUMINT) principles,,1,llm_v0
14N,K,Measurement and signature intelligence (MASINT) principles,llm,Measurement and signature intelligence (MASINT) principles,,1,llm_v0
14N,K,Open-source intelligence (OSINT) principles,llm,Open-source intelligence (OSINT) principles,,1,llm_v0
14N,K,Signals intelligence (SIGINT) principles,llm,Signals intelligence (SIGINT) principles,,1,llm_v0
14N,K,Technical intelligence (TECHINT) principles,llm,Technical intelligence (TECHINT) principles,,1,llm_v0
14N,K,Intelligence tradecraft and assessment methodologies,llm,Intelligence tradecraft and assessment methodologies,,1,llm_v0
14N,K,"Counterdrug, counterproliferation, and counterterrorism concepts",llm,"Counterdrug, counterproliferation, and counterterrorism concepts",,1,llm_v0
14N,K,Current and general military intelligence concepts,llm,Current and general military intelligence concepts,,1,llm_v0
14N,K,Indications and warning (I&W) frameworks,llm,Indications and warning (I&W) frameworks,,1,llm_v0
14N,K,Irregular warfare fundamentals,llm,Irregular warfare fundamentals,,1,llm_v0
14N,K,Target intelligence concepts,llm,Target intelligence concepts,,1,llm_v0
14N,K,Airborne ISR operations,llm,Airborne ISR operations,,1,llm_v0
14N,K,Air Operations Center (AOC) processes,llm,Air Operations Center (AOC) processes,,1,llm_v0
14N,K,Air Support Operations Center (ASOC) processes,llm,Air Support Operations Center (ASOC) processes,,1,llm_v0
14N,K,Cyberspace ISR operations,llm,Cyberspace ISR operations,,1,llm_v0
14N,K,Distributed Common Ground Station (DCGS) operations,llm,Distributed Common Ground Station (DCGS) operations,,1,llm_v0
14N,K,Force protection and information operations,llm,Force protection and information operations,,1,llm_v0
14N,K,Space operations and SOF integration,llm,Space operations and SOF integration,,1,llm_v0
14N,K,ISR enterprise management concepts,llm,ISR enterprise management concepts,,1,llm_v0
14N,K,Acquisition and doctrine,llm,Acquisition and doctrine,,1,llm_v0
14N,K,Education and training doctrine,llm,Education and training doctrine,,1,llm_v0
14N,K,Financial management for intelligence,llm,Financial management for intelligence,,1,llm_v0
14N,K,Human capital and talent management,llm,Human capital and talent management,,1,llm_v0
14N,K,Information technology for ISR,llm,Information technology for ISR,,1,llm_v0
14N,K,Modeling and simulation,llm,Modeling and simulation,,1,llm_v0
14N,K,"Policy, research, and technology",llm,"Policy, research, and technology",,1,llm_v0
14N,K,Security and strategy,llm,Security and strategy,,1,llm_v0
14N,S,Direct ISR activities and organizations,llm,Direct ISR activities and organizations,,1,llm_v0
14N,S,Establish goals and objectives for intelligence units,llm,Establish goals and objectives for intelligence units,,1,llm_v0
14N,S,Review requirements and set relative priorities,llm,Review requirements and set relative priorities,,1,llm_v0
14N,S,Advise commanders as senior intelligence advisor,llm,Advise commanders as senior intelligence advisor,,1,llm_v0
14N,S,Prepare intelligence budget estimates and financial plans,llm,Prepare intelligence budget estimates and financial plans,,1,llm_v0
14N,S,"Implement standardization, evaluation, and training programs",llm,"Implement standardization, evaluation, and training programs",,1,llm_v0
14N,S,Monitor compliance with standards and policies,llm,Monitor compliance with standards and policies,,1,llm_v0
14N,S,Develop intelligence plans and policies,llm,Develop intelligence plans and policies,,1,llm_v0
14N,S,"Integrate intelligence across cross-functional capabilities, missions, and organizations",llm,"Integrate intelligence across cross-functional capabilities, missions, and organizations",,1,llm_v0
14N,S,"Apply tradecraft for assessment, counterdrug, counterproliferation, and counterterrorism",llm,"Apply tradecraft for assessment, counterdrug, counterproliferation, and counterterrorism",,1,llm_v0
14N,S,"Produce current, I&W, general military, and target intelligence products",llm,"Produce current, I&W, general military, and target intelligence products",,1,llm_v0
14N,S,"Coordinate with AOC, ASOC, DCGS, airborne ISR, cyberspace ISR, flying units, force protection, information operations, space, and SOF",llm,"Coordinate with AOC, ASOC, DCGS, airborne ISR, cyberspace ISR, flying units, force protection, information operations, space, and SOF",,1,llm_v0
14N,S,"Manage ISR enterprise functions (acquisition, doctrine, education/training, finance, human capital, IT, modeling/simulation, policy, research/technology, security, strategy)",llm,"Manage ISR enterprise functions (acquisition, doctrine, education/training, finance, human capital, IT, modeling/simulation, policy, research/technology, security, strategy)",,1,llm_v0
14N,S,Standardize and evaluate intelligence processes and training,llm,Standardize and evaluate intelligence processes and training,,1,llm_v0
14N,S,Plan and resource ISR activities,llm,Plan and resource ISR activities,,1,llm_v0
14N,A,Lead and manage ISR organizations,llm,Lead and manage ISR organizations,,1,llm_v0
14N,A,Establish goals and objectives for intelligence missions,llm,Establish goals and objectives for intelligence missions,,1,llm_v0
14N,A,Prioritize competing requirements across missions and functions,llm,Prioritize competing requirements across missions and functions,,1,llm_v0
14N,A,Serve effectively as a senior intelligence advisor to commanders,llm,Serve effectively as a senior intelligence advisor to commanders,,1,llm_v0
14N,A,Integrate multi-discipline intelligence to support operations,llm,Integrate multi-discipline intelligence to support operations,,1,llm_v0
14N,A,Manage budgets and oversee financial planning for intelligence,llm,Manage budgets and oversee financial planning for intelligence,,1,llm_v0
14N,A,"Implement and oversee standardization, evaluation, and training",llm,"Implement and oversee standardization, evaluation, and training",,1,llm_v0
14N,A,Ensure compliance with policies and standards,llm,Ensure compliance with policies and standards,,1,llm_v0
14N,A,Develop and implement intelligence plans and policies,llm,Develop and implement intelligence plans and policies,,1,llm_v0
14N,A,"Coordinate and collaborate across air, cyber, space, SOF, and other operational domains",llm,"Coordinate and collaborate across air, cyber, space, SOF, and other operational domains",,1,llm_v0
14N,A,"Perform ISR enterprise management across acquisition, doctrine, training, finance, human capital, IT, modeling/simulation, policy, research/technology, security, and strategy",llm,"Perform ISR enterprise management across acquisition, doctrine, training, finance, human capital, IT, modeling/simulation, policy, research/technology, security, and strategy",,1,llm_v0
14N,K,"Legislative, executive, regulatory, and directive frameworks governing intelligence operations",llm,"Legislative, executive, regulatory, and directive frameworks governing intelligence operations",,2,llm_v0
14N,K,"Intelligence disciplines and professional tradecraft principles (e.g., all-source fusion)",llm,"Intelligence disciplines and professional tradecraft principles (e.g., all-source fusion)",,2,llm_v0
14N,K,Intelligence operations policies and applications concepts,llm,Intelligence operations policies and applications concepts,,2,llm_v0
14N,K,Force development and organizational structure planning principles,llm,Force development and organizational structure planning principles,,2,llm_v0
14N,K,"Department of Defense Planning, Programming, and Budgeting System (PPBS)",llm,"Department of Defense Planning, Programming, and Budgeting System (PPBS)",,2,llm_v0
14N,K,"Resource allocation, budgeting, and materiel management processes",llm,"Resource allocation, budgeting, and materiel management processes",,2,llm_v0
14N,K,Joint operational planning processes and orders development,llm,Joint operational planning processes and orders development,,2,llm_v0
14N,K,Weapon system acquisition lifecycle and intelligence support requirements,llm,Weapon system acquisition lifecycle and intelligence support requirements,,2,llm_v0
14N,K,Structured analytical techniques theory and methodologies,llm,Structured analytical techniques theory and methodologies,,2,llm_v0
14N,K,"Intelligence collection, processing, and dissemination workflows",llm,"Intelligence collection, processing, and dissemination workflows",,2,llm_v0
14N,K,"Interagency, intergovernmental, and multinational coordination frameworks",llm,"Interagency, intergovernmental, and multinational coordination frameworks",,2,llm_v0
14N,K,User requirements determination and prioritization principles,llm,User requirements determination and prioritization principles,,2,llm_v0
14N,S,"Evaluating the impact of legislation, executive orders, regulations, and management decisions on intelligence activities",llm,"Evaluating the impact of legislation, executive orders, regulations, and management decisions on intelligence activities",,2,llm_v0
14N,S,Integrating intelligence activities into organizational plans and programs,llm,Integrating intelligence activities into organizational plans and programs,,2,llm_v0
14N,S,"Developing and implementing intelligence policies, plans, concepts, systems, and orders",llm,"Developing and implementing intelligence policies, plans, concepts, systems, and orders",,2,llm_v0
14N,S,Conducting force development and organizational structure planning,llm,Conducting force development and organizational structure planning,,2,llm_v0
14N,S,Managing and coordinating multi-discipline intelligence activities and cross-functional integration,llm,Managing and coordinating multi-discipline intelligence activities and cross-functional integration,,2,llm_v0
14N,S,"Liaising with government, business, scientific, and international organizations to exchange information and coordinate studies and proposals",llm,"Liaising with government, business, scientific, and international organizations to exchange information and coordinate studies and proposals",,2,llm_v0
14N,S,Managing intelligence responsibilities within the DoD PPBS,llm,Managing intelligence responsibilities within the DoD PPBS,,2,llm_v0
14N,S,"Coordinating resource allocation and funding with personnel, materiel, planning, programming, and operations stakeholders",llm,"Coordinating resource allocation and funding with personnel, materiel, planning, programming, and operations stakeholders",,2,llm_v0
14N,S,Preparing and implementing operational plans that incorporate intelligence,llm,Preparing and implementing operational plans that incorporate intelligence,,2,llm_v0
14N,S,Supporting weapon system acquisition with intelligence inputs and assessments,llm,Supporting weapon system acquisition with intelligence inputs and assessments,,2,llm_v0
14N,S,"Producing timely, accurate, fused intelligence analysis and products",llm,"Producing timely, accurate, fused intelligence analysis and products",,2,llm_v0
14N,S,"Applying structured analytical techniques to integrate, evaluate, analyze, and interpret all-source data",llm,"Applying structured analytical techniques to integrate, evaluate, analyze, and interpret all-source data",,2,llm_v0
14N,S,"Refining, compiling, and synthesizing intelligence from subordinate units and external organizations",llm,"Refining, compiling, and synthesizing intelligence from subordinate units and external organizations",,2,llm_v0
14N,S,"Translating known or anticipated user requirements into collection, analysis, and production tasks",llm,"Translating known or anticipated user requirements into collection, analysis, and production tasks",,2,llm_v0
14N,A,"Analyze complex policy, operational, and intelligence issues critically",llm,"Analyze complex policy, operational, and intelligence issues critically",,2,llm_v0
14N,A,Synthesize disparate all-source information into coherent assessments,llm,Synthesize disparate all-source information into coherent assessments,,2,llm_v0
14N,A,"Make timely, accurate judgments under operational deadlines",llm,"Make timely, accurate judgments under operational deadlines",,2,llm_v0
14N,A,"Plan, organize, and manage complex, cross-functional projects",llm,"Plan, organize, and manage complex, cross-functional projects",,2,llm_v0
14N,A,"Coordinate and collaborate effectively with joint, interagency, and multinational partners",llm,"Coordinate and collaborate effectively with joint, interagency, and multinational partners",,2,llm_v0
14N,A,Anticipate user requirements and tailor intelligence outputs accordingly,llm,Anticipate user requirements and tailor intelligence outputs accordingly,,2,llm_v0
14N,A,Assess and forecast the impact of organizational and policy changes on intelligence activities,llm,Assess and forecast the impact of organizational and policy changes on intelligence activities,,2,llm_v0
14N,A,Integrate cross-functional capabilities into intelligence operations and plans,llm,Integrate cross-functional capabilities into intelligence operations and plans,,2,llm_v0
14N,A,Prioritize resources and efforts in constrained environments,llm,Prioritize resources and efforts in constrained environments,,2,llm_v0
14N,A,Communicate findings and recommendations clearly to decision-makers,llm,Communicate findings and recommendations clearly to decision-makers,,2,llm_v0
14N,A,"Adapt to evolving missions, directives, and operating conditions",llm,"Adapt to evolving missions, directives, and operating conditions",,2,llm_v0
14N,K,"Intelligence cycle, PIRs, and RFIs",llm,"Intelligence cycle, PIRs, and RFIs",,3,llm_v0
14N,K,Collection management doctrine and prioritization principles,llm,Collection management doctrine and prioritization principles,,3,llm_v0
14N,K,"ISR platforms and sensors across air, space, cyber, and non-traditional domains",llm,"ISR platforms and sensors across air, space, cyber, and non-traditional domains",,3,llm_v0
14N,K,HUMINT fundamentals and source utilization,llm,HUMINT fundamentals and source utilization,,3,llm_v0
14N,K,"Processing, exploitation, and dissemination (PED) concepts",llm,"Processing, exploitation, and dissemination (PED) concepts",,3,llm_v0
14N,K,Near-real-time (NRT) operations concepts,llm,Near-real-time (NRT) operations concepts,,3,llm_v0
14N,K,Multi-domain sensing grid concepts and collaborative operations,llm,Multi-domain sensing grid concepts and collaborative operations,,3,llm_v0
14N,K,Cloud computing architectures and common data environments,llm,Cloud computing architectures and common data environments,,3,llm_v0
14N,K,Machine intelligence (AI/ML) and big data analytics principles,llm,Machine intelligence (AI/ML) and big data analytics principles,,3,llm_v0
14N,K,ISR command-and-control processes,llm,ISR command-and-control processes,,3,llm_v0
14N,K,Data sharing and partner/agency coordination protocols,llm,Data sharing and partner/agency coordination protocols,,3,llm_v0
14N,K,Human–machine teaming principles for intelligence operations,llm,Human–machine teaming principles for intelligence operations,,3,llm_v0
14N,S,"Integrating, evaluating, analyzing, and interpreting multi-source information",llm,"Integrating, evaluating, analyzing, and interpreting multi-source information",,3,llm_v0
14N,S,Creating intelligence products aligned to PIRs and RFIs,llm,Creating intelligence products aligned to PIRs and RFIs,,3,llm_v0
14N,S,Converting intelligence requirements into collection requirements,llm,Converting intelligence requirements into collection requirements,,3,llm_v0
14N,S,Prioritizing requirements and deconflicting tasking,llm,Prioritizing requirements and deconflicting tasking,,3,llm_v0
