Research ID,Description,Raw Skill,Knowledge Required,Task Abilities,Skill Tag,Correlation Coefficient
14N,"AFSC 14N4, Staff 
INTELLIGENCE 
DAFOCD, 31 Oct 24 
AFSC 14N3, Qualified  
AFSC 14N1, Entry 
(Changed 30 Apr 21) 
1. Specialty Summary. Leads and performs intelligence activities across the full range of military operations supporting the Air Force’s 
Service Core Function (SCF) of Global Integrated Intelligence, Surveillance and Reconnaissance (ISR). The Air Force conducts global 
integrated ISR operations through a five-phase process commonly known by its acronym, PCPAD: planning and direction;",collection,,,S_pattern,0.75
14N,"AFSC 14N4, Staff 
INTELLIGENCE 
DAFOCD, 31 Oct 24 
AFSC 14N3, Qualified  
AFSC 14N1, Entry 
(Changed 30 Apr 21) 
1. Specialty Summary. Leads and performs intelligence activities across the full range of military operations supporting the Air Force’s 
Service Core Function (SCF) of Global Integrated Intelligence, Surveillance and Reconnaissance (ISR). The Air Force conducts global 
integrated ISR operations through a five-phase process commonly known by its acronym, PCPAD: planning and direction;","collection operations by directing, scheduling,",,,S_pattern,0.75
14N,"AFSC 14N4, Staff 
INTELLIGENCE 
DAFOCD, 31 Oct 24 
AFSC 14N3, Qualified  
AFSC 14N1, Entry 
(Changed 30 Apr 21) 
1. Specialty Summary. Leads and performs intelligence activities across the full range of military operations supporting the Air Force’s 
Service Core Function (SCF) of Global Integrated Intelligence, Surveillance and Reconnaissance (ISR). The Air Force conducts global 
integrated ISR operations through a five-phase process commonly known by its acronym, PCPAD: planning and direction;","analysis of enemy personnel, units, disposition, facilities, systems,",,,S_pattern,0.75
14N,"AFSC 14N4, Staff 
INTELLIGENCE 
DAFOCD, 31 Oct 24 
AFSC 14N3, Qualified  
AFSC 14N1, Entry 
(Changed 30 Apr 21) 
1. Specialty Summary. Leads and performs intelligence activities across the full range of military operations supporting the Air Force’s 
Service Core Function (SCF) of Global Integrated Intelligence, Surveillance and Reconnaissance (ISR). The Air Force conducts global 
integrated ISR operations through a five-phase process commonly known by its acronym, PCPAD: planning and direction;",and coordinates intelligence activities,,,S_pattern,0.75
14N,"AFSC 14N4, Staff 
INTELLIGENCE 
DAFOCD, 31 Oct 24 
AFSC 14N3, Qualified  
AFSC 14N1, Entry 
(Changed 30 Apr 21) 
1. Specialty Summary. Leads and performs intelligence activities across the full range of military operations supporting the Air Force’s 
Service Core Function (SCF) of Global Integrated Intelligence, Surveillance and Reconnaissance (ISR). The Air Force conducts global 
integrated ISR operations through a five-phase process commonly known by its acronym, PCPAD: planning and direction;","intelligence responsibilities of the department of defense planning, programming,",,,S_pattern,0.75
14N,"AFSC 14N4, Staff 
INTELLIGENCE 
DAFOCD, 31 Oct 24 
AFSC 14N3, Qualified  
AFSC 14N1, Entry 
(Changed 30 Apr 21) 
1. Specialty Summary. Leads and performs intelligence activities across the full range of military operations supporting the Air Force’s 
Service Core Function (SCF) of Global Integrated Intelligence, Surveillance and Reconnaissance (ISR). The Air Force conducts global 
integrated ISR operations through a five-phase process commonly known by its acronym, PCPAD: planning and direction;",intelligence activities,,,S_pattern,0.75
14N,"AFSC 14N4, Staff 
INTELLIGENCE 
DAFOCD, 31 Oct 24 
AFSC 14N3, Qualified  
AFSC 14N1, Entry 
(Changed 30 Apr 21) 
1. Specialty Summary. Leads and performs intelligence activities across the full range of military operations supporting the Air Force’s 
Service Core Function (SCF) of Global Integrated Intelligence, Surveillance and Reconnaissance (ISR). The Air Force conducts global 
integrated ISR operations through a five-phase process commonly known by its acronym, PCPAD: planning and direction;",isr activities,,,S_pattern,0.75
14N,"AFSC 14N4, Staff 
INTELLIGENCE 
DAFOCD, 31 Oct 24 
AFSC 14N3, Qualified  
AFSC 14N1, Entry 
(Changed 30 Apr 21) 
1. Specialty Summary. Leads and performs intelligence activities across the full range of military operations supporting the Air Force’s 
Service Core Function (SCF) of Global Integrated Intelligence, Surveillance and Reconnaissance (ISR). The Air Force conducts global 
integrated ISR operations through a five-phase process commonly known by its acronym, PCPAD: planning and direction;",preparation of intelligence budget estimates,,,S_pattern,0.75
14F,"AFSC 14F4, Staff 
AFSC 14F3, Qualified  
AFSC 14F1, Entry 
(Changed 31 Oct 23) 
1. Specialty Summary. Leads and applies social science principles across four functional competencies: analysis, planning, integration, 
and assessments throughout the full range of military operations to influence perceptions and behavior, and to drive action or inaction of 
relevant actors. IO professionals coordinate, integrate, and synchronize information capabilities with military operations to achieve an 
infor","io, miso, deception activities, mildec,","io, miso, deception activities, mildec,",,K_pattern,0.75
14F,"AFSC 14F4, Staff 
AFSC 14F3, Qualified  
AFSC 14F1, Entry 
(Changed 31 Oct 23) 
1. Specialty Summary. Leads and applies social science principles across four functional competencies: analysis, planning, integration, 
and assessments throughout the full range of military operations to influence perceptions and behavior, and to drive action or inaction of 
relevant actors. IO professionals coordinate, integrate, and synchronize information capabilities with military operations to achieve an 
infor",planning for flexible,,,S_pattern,0.75
14F,"AFSC 14F4, Staff 
AFSC 14F3, Qualified  
AFSC 14F1, Entry 
(Changed 31 Oct 23) 
1. Specialty Summary. Leads and applies social science principles across four functional competencies: analysis, planning, integration, 
and assessments throughout the full range of military operations to influence perceptions and behavior, and to drive action or inaction of 
relevant actors. IO professionals coordinate, integrate, and synchronize information capabilities with military operations to achieve an 
infor","the synchronized planning, execution,",,,S_pattern,0.75
21A,"AFSC 21A4, Staff 
AFSC 21A3, Qualified  
AFSC 21A1, Entry 
AIRCRAFT MAINTENANCE 
(Changed 31 Oct 15, Effective 26 Feb 15) 
1. Specialty Summary. Leads, trains, and equips personnel supporting aerospace equipment sustainment and operations. Manages 
maintenance and modification of aircraft and associated equipment. Administers aircraft maintenance programs and resources. Directs 
aircraft maintenance production, staff activity, and related materiel programs. Assesses unit capability and advises s",workforce discipline,,,S_pattern,0.75
21A,"AFSC 21A4, Staff 
AFSC 21A3, Qualified  
AFSC 21A1, Entry 
AIRCRAFT MAINTENANCE 
(Changed 31 Oct 15, Effective 26 Feb 15) 
1. Specialty Summary. Leads, trains, and equips personnel supporting aerospace equipment sustainment and operations. Manages 
maintenance and modification of aircraft and associated equipment. Administers aircraft maintenance programs and resources. Directs 
aircraft maintenance production, staff activity, and related materiel programs. Assesses unit capability and advises s",maintenance,,,S_pattern,0.75
21A,"AFSC 21A4, Staff 
AFSC 21A3, Qualified  
AFSC 21A1, Entry 
AIRCRAFT MAINTENANCE 
(Changed 31 Oct 15, Effective 26 Feb 15) 
1. Specialty Summary. Leads, trains, and equips personnel supporting aerospace equipment sustainment and operations. Manages 
maintenance and modification of aircraft and associated equipment. Administers aircraft maintenance programs and resources. Directs 
aircraft maintenance production, staff activity, and related materiel programs. Assesses unit capability and advises s",aircraft configuration,,,S_pattern,0.75
21A,"AFSC 21A4, Staff 
AFSC 21A3, Qualified  
AFSC 21A1, Entry 
AIRCRAFT MAINTENANCE 
(Changed 31 Oct 15, Effective 26 Feb 15) 
1. Specialty Summary. Leads, trains, and equips personnel supporting aerospace equipment sustainment and operations. Manages 
maintenance and modification of aircraft and associated equipment. Administers aircraft maintenance programs and resources. Directs 
aircraft maintenance production, staff activity, and related materiel programs. Assesses unit capability and advises s",overall aircraft fleet health,,,S_pattern,0.75
21A,"AFSC 21A4, Staff 
AFSC 21A3, Qualified  
AFSC 21A1, Entry 
AIRCRAFT MAINTENANCE 
(Changed 31 Oct 15, Effective 26 Feb 15) 
1. Specialty Summary. Leads, trains, and equips personnel supporting aerospace equipment sustainment and operations. Manages 
maintenance and modification of aircraft and associated equipment. Administers aircraft maintenance programs and resources. Directs 
aircraft maintenance production, staff activity, and related materiel programs. Assesses unit capability and advises s","quality assurance, maintenance training, budget",,,S_pattern,0.75
21A,"AFSC 21A4, Staff 
AFSC 21A3, Qualified  
AFSC 21A1, Entry 
AIRCRAFT MAINTENANCE 
(Changed 31 Oct 15, Effective 26 Feb 15) 
1. Specialty Summary. Leads, trains, and equips personnel supporting aerospace equipment sustainment and operations. Manages 
maintenance and modification of aircraft and associated equipment. Administers aircraft maintenance programs and resources. Directs 
aircraft maintenance production, staff activity, and related materiel programs. Assesses unit capability and advises s",wholesale logistics life cycle sustainment support,,,S_pattern,0.75
21A,"AFSC 21A4, Staff 
AFSC 21A3, Qualified  
AFSC 21A1, Entry 
AIRCRAFT MAINTENANCE 
(Changed 31 Oct 15, Effective 26 Feb 15) 
1. Specialty Summary. Leads, trains, and equips personnel supporting aerospace equipment sustainment and operations. Manages 
maintenance and modification of aircraft and associated equipment. Administers aircraft maintenance programs and resources. Directs 
aircraft maintenance production, staff activity, and related materiel programs. Assesses unit capability and advises s","weapons system programs, funding of depot maintenance workloads,",,,S_pattern,0.75
21A,"AFSC 21A4, Staff 
AFSC 21A3, Qualified  
AFSC 21A1, Entry 
AIRCRAFT MAINTENANCE 
(Changed 31 Oct 15, Effective 26 Feb 15) 
1. Specialty Summary. Leads, trains, and equips personnel supporting aerospace equipment sustainment and operations. Manages 
maintenance and modification of aircraft and associated equipment. Administers aircraft maintenance programs and resources. Directs 
aircraft maintenance production, staff activity, and related materiel programs. Assesses unit capability and advises s",logistics tests,,,S_pattern,0.75
21A,"AFSC 21A4, Staff 
AFSC 21A3, Qualified  
AFSC 21A1, Entry 
AIRCRAFT MAINTENANCE 
(Changed 31 Oct 15, Effective 26 Feb 15) 
1. Specialty Summary. Leads, trains, and equips personnel supporting aerospace equipment sustainment and operations. Manages 
maintenance and modification of aircraft and associated equipment. Administers aircraft maintenance programs and resources. Directs 
aircraft maintenance production, staff activity, and related materiel programs. Assesses unit capability and advises s","aircraft maintenance production, staff activity,",,,S_pattern,0.75
21A,"AFSC 21A4, Staff 
AFSC 21A3, Qualified  
AFSC 21A1, Entry 
AIRCRAFT MAINTENANCE 
(Changed 31 Oct 15, Effective 26 Feb 15) 
1. Specialty Summary. Leads, trains, and equips personnel supporting aerospace equipment sustainment and operations. Manages 
maintenance and modification of aircraft and associated equipment. Administers aircraft maintenance programs and resources. Directs 
aircraft maintenance production, staff activity, and related materiel programs. Assesses unit capability and advises s",aircraft maintenance mission generation,,,S_pattern,0.75
21A,"AFSC 21A4, Staff 
AFSC 21A3, Qualified  
AFSC 21A1, Entry 
AIRCRAFT MAINTENANCE 
(Changed 31 Oct 15, Effective 26 Feb 15) 
1. Specialty Summary. Leads, trains, and equips personnel supporting aerospace equipment sustainment and operations. Manages 
maintenance and modification of aircraft and associated equipment. Administers aircraft maintenance programs and resources. Directs 
aircraft maintenance production, staff activity, and related materiel programs. Assesses unit capability and advises s","maintenance activities that may include aircraft propulsion, pneudraulics, egress, fuel systems, electro-environmental, precision measurement equipment laboratory (pmel)",,,S_pattern,0.75
21A,"AFSC 21A4, Staff 
AFSC 21A3, Qualified  
AFSC 21A1, Entry 
AIRCRAFT MAINTENANCE 
(Changed 31 Oct 15, Effective 26 Feb 15) 
1. Specialty Summary. Leads, trains, and equips personnel supporting aerospace equipment sustainment and operations. Manages 
maintenance and modification of aircraft and associated equipment. Administers aircraft maintenance programs and resources. Directs 
aircraft maintenance production, staff activity, and related materiel programs. Assesses unit capability and advises s",and manages wholesale logistics life cycle sustainment support,,,S_pattern,0.75
21A,"AFSC 21A4, Staff 
AFSC 21A3, Qualified  
AFSC 21A1, Entry 
AIRCRAFT MAINTENANCE 
(Changed 31 Oct 15, Effective 26 Feb 15) 
1. Specialty Summary. Leads, trains, and equips personnel supporting aerospace equipment sustainment and operations. Manages 
maintenance and modification of aircraft and associated equipment. Administers aircraft maintenance programs and resources. Directs 
aircraft maintenance production, staff activity, and related materiel programs. Assesses unit capability and advises s",execute mission requirements,,execute mission requirements,A_pattern,0.75
21M,"AFSC 21M4*, Staff  
AFSC 21M3*, Qualified  
AFSC 21M1*, Entry 
(Changed 31 Oct 18) 
1. Specialty Summary. Manages maintenance and modification of conventional munitions, nuclear weapons, intercontinental ballistic 
missiles (ICBM), and associated equipment. Administers weapons programs and resources. Directs nuclear weapons and conventional 
munitions accountability, storage, and maintenance production, staff activities, and related material programs. Manages missile 
maintenance activities at l","conventional munitions, nuclear weapons,",,,S_pattern,0.75
21M,"AFSC 21M4*, Staff  
AFSC 21M3*, Qualified  
AFSC 21M1*, Entry 
(Changed 31 Oct 18) 
1. Specialty Summary. Manages maintenance and modification of conventional munitions, nuclear weapons, intercontinental ballistic 
missiles (ICBM), and associated equipment. Administers weapons programs and resources. Directs nuclear weapons and conventional 
munitions accountability, storage, and maintenance production, staff activities, and related material programs. Manages missile 
maintenance activities at l",maintenance,,,S_pattern,0.75
21M,"AFSC 21M4*, Staff  
AFSC 21M3*, Qualified  
AFSC 21M1*, Entry 
(Changed 31 Oct 18) 
1. Specialty Summary. Manages maintenance and modification of conventional munitions, nuclear weapons, intercontinental ballistic 
missiles (ICBM), and associated equipment. Administers weapons programs and resources. Directs nuclear weapons and conventional 
munitions accountability, storage, and maintenance production, staff activities, and related material programs. Manages missile 
maintenance activities at l",missile maintenance activities at launch/missile alert facilities,,,S_pattern,0.75
21M,"AFSC 21M4*, Staff  
AFSC 21M3*, Qualified  
AFSC 21M1*, Entry 
(Changed 31 Oct 18) 
1. Specialty Summary. Manages maintenance and modification of conventional munitions, nuclear weapons, intercontinental ballistic 
missiles (ICBM), and associated equipment. Administers weapons programs and resources. Directs nuclear weapons and conventional 
munitions accountability, storage, and maintenance production, staff activities, and related material programs. Manages missile 
maintenance activities at l",storage,,,S_pattern,0.75
21M,"AFSC 21M4*, Staff  
AFSC 21M3*, Qualified  
AFSC 21M1*, Entry 
(Changed 31 Oct 18) 
1. Specialty Summary. Manages maintenance and modification of conventional munitions, nuclear weapons, intercontinental ballistic 
missiles (ICBM), and associated equipment. Administers weapons programs and resources. Directs nuclear weapons and conventional 
munitions accountability, storage, and maintenance production, staff activities, and related material programs. Manages missile 
maintenance activities at l","conventional munitions, nuclear weapons,",,,S_pattern,0.75
21M,"AFSC 21M4*, Staff  
AFSC 21M3*, Qualified  
AFSC 21M1*, Entry 
(Changed 31 Oct 18) 
1. Specialty Summary. Manages maintenance and modification of conventional munitions, nuclear weapons, intercontinental ballistic 
missiles (ICBM), and associated equipment. Administers weapons programs and resources. Directs nuclear weapons and conventional 
munitions accountability, storage, and maintenance production, staff activities, and related material programs. Manages missile 
maintenance activities at l",and coordinates activities to support intercontinental ballistic missile (icbm) launch readiness operations,,,S_pattern,0.75
21M,"AFSC 21M4*, Staff  
AFSC 21M3*, Qualified  
AFSC 21M1*, Entry 
(Changed 31 Oct 18) 
1. Specialty Summary. Manages maintenance and modification of conventional munitions, nuclear weapons, intercontinental ballistic 
missiles (ICBM), and associated equipment. Administers weapons programs and resources. Directs nuclear weapons and conventional 
munitions accountability, storage, and maintenance production, staff activities, and related material programs. Manages missile 
maintenance activities at l","all aspects of the air force munitions accountability system, including systems",,,S_pattern,0.75
21M,"AFSC 21M4*, Staff  
AFSC 21M3*, Qualified  
AFSC 21M1*, Entry 
(Changed 31 Oct 18) 
1. Specialty Summary. Manages maintenance and modification of conventional munitions, nuclear weapons, intercontinental ballistic 
missiles (ICBM), and associated equipment. Administers weapons programs and resources. Directs nuclear weapons and conventional 
munitions accountability, storage, and maintenance production, staff activities, and related material programs. Manages missile 
maintenance activities at l",nuclear weapons,,,S_pattern,0.75
21M,"AFSC 21M4*, Staff  
AFSC 21M3*, Qualified  
AFSC 21M1*, Entry 
(Changed 31 Oct 18) 
1. Specialty Summary. Manages maintenance and modification of conventional munitions, nuclear weapons, intercontinental ballistic 
missiles (ICBM), and associated equipment. Administers weapons programs and resources. Directs nuclear weapons and conventional 
munitions accountability, storage, and maintenance production, staff activities, and related material programs. Manages missile 
maintenance activities at l",munitions support for in-place,,,S_pattern,0.75
1A3X1,"CEM Code 1A100* 
AFSC 1A192*, Senior Enlisted Leader  
AFSC 1A172*, Craftsman  
AFSC 1A152*, Journeyman 
AFSC 1A132*, Apprentice 
AFSC 1A112, Helper 
MOBILITY FORCE AVIATOR 
(Established 31 Oct 23) 
1. Specialty Summary. The Lead-MAJCOM for aircraft and mission set will determine the Mobility Force Aviator (MFA) performance 
tasks as outlined in Master Training Tasks/Task Training Lists associated with Mission Design Series crew positions. Performs preflight and 
post-flight of aircraft and airc","electrical, arithmetic, mechanical, navigation, communication, hydraulic,","electrical, arithmetic, mechanical, navigation, communication, hydraulic,",,K_pattern,0.75
1A3X1,"CEM Code 1A100* 
AFSC 1A192*, Senior Enlisted Leader  
AFSC 1A172*, Craftsman  
AFSC 1A152*, Journeyman 
AFSC 1A132*, Apprentice 
AFSC 1A112, Helper 
MOBILITY FORCE AVIATOR 
(Established 31 Oct 23) 
1. Specialty Summary. The Lead-MAJCOM for aircraft and mission set will determine the Mobility Force Aviator (MFA) performance 
tasks as outlined in Master Training Tasks/Task Training Lists associated with Mission Design Series crew positions. Performs preflight and 
post-flight of aircraft and airc",preflight,,,S_pattern,0.75
1A3X1,"CEM Code 1A100* 
AFSC 1A192*, Senior Enlisted Leader  
AFSC 1A172*, Craftsman  
AFSC 1A152*, Journeyman 
AFSC 1A132*, Apprentice 
AFSC 1A112, Helper 
MOBILITY FORCE AVIATOR 
(Established 31 Oct 23) 
1. Specialty Summary. The Lead-MAJCOM for aircraft and mission set will determine the Mobility Force Aviator (MFA) performance 
tasks as outlined in Master Training Tasks/Task Training Lists associated with Mission Design Series crew positions. Performs preflight and 
post-flight of aircraft and airc",aircrew functions,,,S_pattern,0.75
1A3X1,"CEM Code 1A100* 
AFSC 1A192*, Senior Enlisted Leader  
AFSC 1A172*, Craftsman  
AFSC 1A152*, Journeyman 
AFSC 1A132*, Apprentice 
AFSC 1A112, Helper 
MOBILITY FORCE AVIATOR 
(Established 31 Oct 23) 
1. Specialty Summary. The Lead-MAJCOM for aircraft and mission set will determine the Mobility Force Aviator (MFA) performance 
tasks as outlined in Master Training Tasks/Task Training Lists associated with Mission Design Series crew positions. Performs preflight and 
post-flight of aircraft and airc",in-flight refueling aircrew functions,,,S_pattern,0.75
1A3X1,"CEM Code 1A100* 
AFSC 1A192*, Senior Enlisted Leader  
AFSC 1A172*, Craftsman  
AFSC 1A152*, Journeyman 
AFSC 1A132*, Apprentice 
AFSC 1A112, Helper 
MOBILITY FORCE AVIATOR 
(Established 31 Oct 23) 
1. Specialty Summary. The Lead-MAJCOM for aircraft and mission set will determine the Mobility Force Aviator (MFA) performance 
tasks as outlined in Master Training Tasks/Task Training Lists associated with Mission Design Series crew positions. Performs preflight and 
post-flight of aircraft and airc",aircraft inspections,,,S_pattern,0.75
1A3X1,"CEM Code 1A100* 
AFSC 1A192*, Senior Enlisted Leader  
AFSC 1A172*, Craftsman  
AFSC 1A152*, Journeyman 
AFSC 1A132*, Apprentice 
AFSC 1A112, Helper 
MOBILITY FORCE AVIATOR 
(Established 31 Oct 23) 
1. Specialty Summary. The Lead-MAJCOM for aircraft and mission set will determine the Mobility Force Aviator (MFA) performance 
tasks as outlined in Master Training Tasks/Task Training Lists associated with Mission Design Series crew positions. Performs preflight and 
post-flight of aircraft and airc",aircrew visual inspection,,,S_pattern,0.75
