afsc,label,text_norm,evidence,source_doc,page,chunk_idx,extractor_version
1A3X1,S,and monitors engine,"or electronic calculator. Records actual aircraft performance data in flight engineer's log. 
2.4. 
Operates and monitors engine and aircraft systems controls and indicators according to flight manual procedures. Assists pilot or 
pe",pattern,,,pattern_v0
1A3X1,S,engine controls to provide desired efficiency,"ists pilot or 
performs engine starts, and monitors run-up, flight operations, and engine shutdown. Operates engine controls to provide desired efficiency 
and economy. Monitors engine instruments throughout period of operation. Controls, monitors, and regulat",pattern,,,pattern_v0
1A3X1,S,in-flight air refueling controls,"operational check of air refueling systems. Directs receiver aircraft into air refueling 
position. Operates in-flight air refueling controls and switches to safely affect contact between tanker and receiver aircraft. Monitors control 
panel for ",pattern,,,pattern_v0
1A3X1,S,aircraft airdrop systems,"ntainers, suspension systems, and extraction 
systems to ensure proper cargo extraction or release. Operates aircraft airdrop systems and supervises cargo and paratroopers exiting the 
aircraft. 
3. Specialty Qualifications: 
3.1. 
Knowle",pattern,,,pattern_v0
1A3X1,S,aircraft forms,"ns of aircraft away from home station. Accomplishes preflight and post- flight records and reports. Maintains aircraft 
forms and records during flight and while aircraft is away from home station. 
2.2. 
Manages cargo and passeng",pattern,,,pattern_v0
1A3X1,A,supervise aviation organizational functions,"rms; 
principles of dispensing and preserving food aboard aircraft; and cargo restraint techniques. Ability to supervise aviation organizational 
functions and shops to include Training, Tactics, Scheduling, and Evaluations. 
3.3.3. 1A192. Qualification in and",pattern,,,pattern_v0
1C3,S,"activities within fixed ground, mobile"," 
ALL-DOMAIN COMMAND AND CONTROL OPERATIONS 
(Changed 30 Apr 24) 
1. Specialty Summary. Manages and performs activities within fixed ground, mobile and airborne command and control (C2) facilities 
such as installation and expeditionary command posts (",pattern,,,pattern_v0
1C3,S,"command, control,","ntifier: C2OPS. Related DoD 
Occupational Subgroup: 125000. 
2. Duties and Responsibilities: 
2.1. 
Performs Command, Control, and Communications (C3) actions to support National Defense, Homeland Security, and All-Domain 
Air and ",pattern,,,pattern_v0
1C3,S,self-assessments," and control of resources and classified material. Develops and evaluates C2 
Operations processes. Performs self-assessments. Ensures operational readiness and adherence to standards. Recommends actions to 
correct C2 Operati",pattern,,,pattern_v0
1C3,S,administrative actions,"el, information, operations, computer, emission, industrial and physical security 
programs. 
2.5. 
Performs administrative actions. Compiles and maintains entry authority lists. Coordinates and provides input to installation suppor",pattern,,,pattern_v0
1C3,S,"and monitors voice, data,","intaining databases, and training personnel. Ensures reported data is 
current and accurate. 
2.3. 
Operates and monitors voice, data, and alerting systems. Develops operating instructions directing All-Domain C2 Operations and 
lateral ag",pattern,,,pattern_v0
1C3,S,and disseminates local,"s and adherence to standards. Recommends actions to 
correct C2 Operations procedural deficiencies. Maintains and disseminates local and worldwide current and forecasted weather to include 
watches, advisories and warnings to installatio",pattern,,,pattern_v0
1C3,S,operational status displays,"ts, and monitors actions to allow continuation or restoration of vital functions and 
 
operations. Maintains operational status displays. Maintains proficiency in C2/CJADC2 systems and aircraft flight following and mission 
management sy",pattern,,,pattern_v0
1C3,S,proficiency in c2/cjadc2 systems,"nuation or restoration of vital functions and 
 
operations. Maintains operational status displays. Maintains proficiency in C2/CJADC2 systems and aircraft flight following and mission 
management systems. Establishes manpower, communications, equ",pattern,,,pattern_v0
1C3,S,"communications security (comsec) to include receiving, safeguarding, utilizing, inventorying, issuing,","rements. Monitors and alerts local and base 
agencies of threats affecting the installation. 
2.4. 
Maintains Communications Security (COMSEC) to include receiving, safeguarding, utilizing, inventorying, issuing, and 
destroying COMSEC material. Maintains personnel, information, operations, computer, emission, indus",pattern,,,pattern_v0
1C3,S,"personnel, information, operations, computer, emission, industrial","include receiving, safeguarding, utilizing, inventorying, issuing, and 
destroying COMSEC material. Maintains personnel, information, operations, computer, emission, industrial and physical security 
programs. 
2.5. 
Performs administrative actions. Compiles and maintains entry au",pattern,,,pattern_v0
1C3,S,entry authority lists,"n, industrial and physical security 
programs. 
2.5. 
Performs administrative actions. Compiles and maintains entry authority lists. Coordinates and provides input to installation support 
plans. Maintains directives and daily event",pattern,,,pattern_v0
1C3,S,directives,"and maintains entry authority lists. Coordinates and provides input to installation support 
plans. Maintains directives and daily events log. Updates and maintains national, HHQ, or installation key personnel rosters. Perfor",pattern,,,pattern_v0
1C3,S,"national, hhq, or installation key personnel rosters","ovides input to installation support 
plans. Maintains directives and daily events log. Updates and maintains national, HHQ, or installation key personnel rosters. Performs as 
the Installation’s Emergency Mass Warning Notification (EMWN) program manager for mass",pattern,,,pattern_v0
1N0,S,support to mission planning,"nce automated data systems to store, retrieve, display, and report intelligence information. 
2.4. 
Performs support to mission planning and execution. Provides tailored collections planning, threat analysis, and intelligence 
expertise nece",pattern,,,pattern_v0
1N0,S,intelligence debriefings of us,"s. Advises commanders on force protection and intelligence information for US and Partner Nations. 
Conducts intelligence debriefings of US and allied military personnel involved in combat operations. Prepares mission reports. 
2.2. 
Conducts i",pattern,,,pattern_v0
1N0,S,intelligence training,"of US and allied military personnel involved in combat operations. Prepares mission reports. 
2.2. 
Conducts intelligence Training. Instructs military personnel on collecting and reporting requirements and procedures, recognition 
",pattern,,,pattern_v0
1N0,S,analysis concerning threat countries or targets of interest via written and/or verbal means,"transit, and deployed units. 
2.6. 
Processes, exploits, and disseminates intelligence products and conducts analysis concerning threat countries or targets of interest 
via written and/or verbal means. These products provide specificity and knowledge to commanders and national leaders to impact tacti",pattern,,,pattern_v0
1N0,S,intelligence reference files,"equirements. Identifies and 
establishes unit requirements for intelligence reference materials and maintains intelligence reference files and automated intelligence 
databases. Uses intelligence automated data systems to store, retrieve, disp",pattern,,,pattern_v0
1N4,K,global communications procedures,"ence 
Community stakeholders 
3. Specialty Qualifications: 
3.1. 
Knowledge. Must gain and maintain knowledge of global communications procedures; analytical techniques; organization of the 
national intelligence structure; intelligence organizat",pattern,,,pattern_v0
1N4,S,global network analysis,"ifies target communications within global networks 
and conducts target technology trends research. Performs global network analysis and mapping, to include technology, activities, and 
communications, in order to determine target traffi",pattern,,,pattern_v0
1N4,S,research," intelligence 
from a variety of sources, and influencing offensive and defensive cyber operations. Conducts research and analysis on potential cyber 
targets, including foreign nations, terrorist groups, and other entitie",pattern,,,pattern_v0
1N4,S,penetration testing,"s are conducted in accordance with applicable laws, regulations, and military rules of 
engagement. Conducts penetration testing and vulnerability assessments to identify potential weaknesses in Air Force networks and 
information or",pattern,,,pattern_v0
1N4,S,"global collection, exploitation,","ases using diverse computer hardware and software applications. 
2.2. 
Computer Network Operations: Conducts global collection, exploitation, and signals analysis critical to cryptologic and cyber 
operations missions. Counters emerging target te",pattern,,,pattern_v0
1N4,S,"analysis of metadata, target analysis,","ides key intelligence enabling offensive and defensive cyberspace operations for US Cyber 
Command. Conducts analysis of metadata, target analysis, and target research. Identifies target communications within global networks 
and conducts target techno",pattern,,,pattern_v0
1N4,S,target technology trends research," target analysis, and target research. Identifies target communications within global networks 
and conducts target technology trends research. Performs global network analysis and mapping, to include technology, activities, and 
communication",pattern,,,pattern_v0
1N4,S,analysis concerning threat countries or targets of interest via written and/or verbal means,"measurable mission outcomes. 
2.5. 
Processes, exploits, and disseminates intelligence products and conducts analysis concerning threat countries or targets of interest 
via written and/or verbal means. These products provide specificity and knowledge to commanders and national leaders to impact tacti",pattern,,,pattern_v0
1N4,S,technical,"gh-interest technical and operational intelligence briefings to all levels of 
command. Creates and maintains technical and operational databases using diverse computer hardware and software applications. 
2.2. 
Computer Net",pattern,,,pattern_v0
1N4,S,access to worldwide networks,"ounters emerging target technologies and gains new access to adversary communications. Exploits and maintains 
access to worldwide networks. Delivers information in compliance with legal, policy, formatting, and timeliness requirements. Uti",pattern,,,pattern_v0
2A3,S,"and supervises flight chief, expediter, crew chief, repair","t 21) 
1. Specialty Summary. Maintains tactical aircraft, support equipment, and forms and records. Performs and supervises flight chief, 
expediter, crew chief, repair and reclamation, quality assurance, and maintenance support functions. Related DoD Occupational Subgroup",pattern,,,pattern_v0
2A3,S,"end-of-runway, ground handling postflight, preflight, thru-flight, special inspections,","ated DoD Occupational Subgroup: 
160000. 
2. Duties and Responsibilities: 
2.1. 
Services aircraft. Performs end-of-runway, ground handling postflight, preflight, thru-flight, special inspections, and phase 
inspections. Performs sortie generation operations and hot pit refuels. Advises on problems m",pattern,,,pattern_v0
2A3,S,sortie generation operations,"y, ground handling postflight, preflight, thru-flight, special inspections, and phase 
inspections. Performs sortie generation operations and hot pit refuels. Advises on problems maintaining, servicing, and inspecting aircraft 
and related ae",pattern,,,pattern_v0
2A3,S,"aircraft jacking, lifting,","aired engines, components, and systems. Adjusts, 
aligns, and rigs aircraft systems. Supervises and performs aircraft jacking, lifting, and towing operations. 
2.3. 
Inspects aircraft structures, engines, systems, components, and related sy",pattern,,,pattern_v0
2A3,S,"aircraft, engine,","3. 
Inspects aircraft structures, engines, systems, components, and related systems. Supervises and performs aircraft, engine, and 
component inspections. Interprets inspection findings and determines adequacy of corrective actions",pattern,,,pattern_v0
2A3,S,"flight chief, production superintendent, expediter, crew chief, repair","ical reports to ensure complete documentation. Inventories and maintains aircraft equipment. 
2.4. 
Performs flight chief, production superintendent, expediter, crew chief, repair and reclamation, and maintenance support functions. 
Coordinates maintenance plans and schedules to meet",pattern,,,pattern_v0
2A3,S,crash recovery duties,"ft. Reviews maintenance data collection summaries to determine trends and production effectiveness. Performs crash recovery 
duties. Performs staff and supervisory management functions. 
3. Specialty Qualifications: 
3.1. 
Knowledge",pattern,,,pattern_v0
2A3,S,"functional tests of repaired engines, components,","tructures, components, and related equipment. 
Removes and installs aircraft and engine components. Conducts functional tests of repaired engines, components, and systems. Adjusts, 
aligns, and rigs aircraft systems. Supervises and performs aircraft jacking, lift",pattern,,,pattern_v0
2A3,S,powered,"and checks components for 
clearances, tolerances, proper installation, and operation. Inspects and operates powered and nonpowered aerospace ground equipment. 
Inspects and identifies aircraft corrosion for prevention an",pattern,,,pattern_v0
2A3,S,"tactical aircraft, support equipment,","ice 
AFSC 2A313*, Helper 
TACTICAL AIRCRAFT MAINTENANCE 
(Changed 31 Oct 21) 
1. Specialty Summary. Maintains tactical aircraft, support equipment, and forms and records. Performs and supervises flight chief, 
expediter, crew chief, repair and reclamat",pattern,,,pattern_v0
2A3,S,"aircraft engines, hydraulic,","ntenance procedures and policies to repair aircraft and related equipment. 
2.2. 
Troubleshoots and maintains aircraft engines, hydraulic, and other related systems, structures, components, and related equipment. 
Removes and installs aircraft",pattern,,,pattern_v0
2A3,S,aircraft equipment,"maintenance 
data systems, and historical reports to ensure complete documentation. Inventories and maintains aircraft equipment. 
2.4. 
Performs flight chief, production superintendent, expediter, crew chief, repair and reclamat",pattern,,,pattern_v0
2A5,S,"and supervises flight chief, expediter, crew chief, repair","hanged 31 Oct 24) 
1. Specialty Summary. Maintains aircraft, support equipment, forms, and records. Performs and supervises flight chief, expediter, crew 
chief, repair and reclamation, quality assurance and maintenance support functions. Related DoD Occupational Subgroup:",pattern,,,pattern_v0
2A5,S,"sortie generation, ground handling,","pport functions. Related DoD Occupational Subgroup: 160000. 
2. Duties and Responsibilities: 
2.1. 
Performs sortie generation, ground handling, and servicing operations. Performs aircraft inspections such as preflight, thru-flight, 
postflight, hou",pattern,,,pattern_v0
2A5,S,"aircraft inspections such as preflight, thru-flight, postflight, hourly postflight, special inspections,","and Responsibilities: 
2.1. 
Performs sortie generation, ground handling, and servicing operations. Performs aircraft inspections such as preflight, thru-flight, 
postflight, hourly postflight, special inspections, and isochronal inspections. Advises on problems, maintenance, servicing, and inspection 
of aircraft and",pattern,,,pattern_v0
2A5,S,ground engine operation,"ls aircraft and engine components. Conducts operational checks and repairs components and systems. 
Performs ground engine operation. Adjusts, aligns, and rigs aircraft systems. Accomplishes weight and balance functions. Supervises a",pattern,,,pattern_v0
2A5,S,"aircraft jacking, lifting,","usts, aligns, and rigs aircraft systems. Accomplishes weight and balance functions. Supervises and 
performs aircraft jacking, lifting, and towing operations. 
2.3. 
Supervises and performs aircraft, engine, and component inspections. Inter",pattern,,,pattern_v0
2A5,S,"aircraft, engine,","s. Supervises and 
performs aircraft jacking, lifting, and towing operations. 
2.3. 
Supervises and performs aircraft, engine, and component inspections. Interprets inspection findings and determines adequacy of 
corrective actions",pattern,,,pattern_v0
2A5,S,pre-use inspections,"ons. Inspects and checks components for clearances, tolerances, proper installation, and operation. Performs pre-use 
inspections and operates powered and non-powered aerospace ground equipment. Inspects and identifies aircraft corros",pattern,,,pattern_v0
2A5,S,crash recovery duties,"ft. Reviews maintenance data collection summaries to determine trends and production effectiveness. Performs crash recovery 
duties. Performs staff and supervisory management functions. 
3. Specialty Qualifications: 
3.1. 
Knowledge",pattern,,,pattern_v0
2A5,S,operational checks,"r related systems, components, and 
equipment. Removes and installs aircraft and engine components. Conducts operational checks and repairs components and systems. 
Performs ground engine operation. Adjusts, aligns, and rigs aircraf",pattern,,,pattern_v0
2A5,S,powered,"s for clearances, tolerances, proper installation, and operation. Performs pre-use 
inspections and operates powered and non-powered aerospace ground equipment. Inspects and identifies aircraft corrosion for prevention 
a",pattern,,,pattern_v0
2A5,S,"aircraft, support equipment, forms,",", Helper 
★AIRLIFT/SPECIAL MISSION AIRCRAFT MAINTENANCE 
(Changed 31 Oct 24) 
1. Specialty Summary. Maintains aircraft, support equipment, forms, and records. Performs and supervises flight chief, expediter, crew 
chief, repair and reclamation, quali",pattern,,,pattern_v0
2A5,S,"aircraft structures, engines, hydraulic,","ocedures and policies to repair aircraft and related equipment. 
2.2. 
Inspects, troubleshoots, and maintains aircraft structures, engines, hydraulic, and other related systems, components, and 
equipment. Removes and installs aircraft and engine componen",pattern,,,pattern_v0
2A5,S,alternate mission equipment,"maintenance data systems, and historical reports to ensure complete 
documentation. Inventories and maintains alternate mission equipment. Inventories and maintains aircraft equipment. 
2.4. 
Coordinates maintenance plans and schedules to",pattern,,,pattern_v0
2A5,S,aircraft equipment,"ure complete 
documentation. Inventories and maintains alternate mission equipment. Inventories and maintains aircraft equipment. 
2.4. 
Coordinates maintenance plans and schedules to meet operational requirements. Supervises and",pattern,,,pattern_v0
14F,K,Considerations for targets vulnerable and susceptible to operations in the information environment,"Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
14F,K,Capabilities that can be applied to achieve desired effects of information operations,"Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
14F,K,Assessment of results once capabilities have been applied,"Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
14F,K,Effects-based approach to targeting for preplanned and dynamic situations,"Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
14F,K,"Implications, execution, analysis, theories and research findings relevant to Deception Activities, MISO, and OPSEC","Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
14F,K,Importance of informational and physical effects integration within USAF and Joint operations,"Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
14F,K,Assessment plans and evaluation of data for IO related recommendations,"Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
14F,K,"Identification of decision makers, factors that guide decision-making, and supporting infrastructure in the information environment","Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
14F,K,Measures of effectiveness (MOE) and MOE indicators for evaluating IO objective status,"Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
14F,S,Leading and developing kinetic and non-kinetic capability requirements,"Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
14F,S,Serving as subject matter expert for target nomination and review process of human targets,"Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
14F,S,"Coordinating and integrating information capabilities with Service, Joint, and Interagency organizations","Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
14F,S,"Advising leadership on Deception Activities, MISO, and OPSEC","Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
14F,S,Synchronizing and providing strategic guidance for information and physical effects integration,"Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
14F,S,Providing IO focused input to assessment plans,"Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
14F,S,Analyzing scenario related products and evaluating IO objective status,"Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
14F,A,Identify targets vulnerable and susceptible to operations in the information environment,"Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
14F,A,Apply capabilities to achieve desired effects of information operations,"Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
14F,A,Assess results of applied information capabilities,"Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
14F,A,Shape the information environment in support of military operations,"Provides considerations for targets that are 
vulnerable and susceptible to operations in the IE, capabilities that can be applied to achieve the desired effects of those operations, and 
how to asses",AFOCD,,2,anthropic_v0
